M,Nbus,S,bias_scale,epochs,gnn_dropout,gnn_hidden,gnn_layers,gnn_type,hidden,layers,lr,nhead,tag,test_theta_deg,test_|V|,trust_lambda,use_bus_smooth,use_gnn,use_mask,val_loss,w_temp_th,w_temp_vm,wls_theta_deg,wls_|V|
72,33,66,2.0,100,0.1,128,2,tag,256,2,0.001,4,W96,7.11669703611798,0.02075155545026064,0.01,False,False,True,0.011919345706701279,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,2,tag,256,2,0.001,4,W96,6.41644512495394,0.02064881194382906,0.01,True,False,True,0.013770818710327148,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,2,tag,256,2,0.001,4,W96,2.19388397544307,0.022498637437820435,0.01,False,True,False,0.0014803438680246472,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,2,tag,256,2,0.001,4,W96,1.7044059924543635,0.030754681676626205,0.01,True,True,False,0.001461143372580409,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,2,tag,256,2,0.001,4,W96,1.481719360592881,0.03325869422405958,0.01,False,True,True,0.0015822973800823092,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,2,tag,256,2,0.001,4,W96,2.15641558536879,0.031316690146923065,0.01,True,True,True,0.002029326744377613,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,3,tag,256,2,0.001,4,W96,6.3832990706855135,0.019410933367908,0.01,False,False,False,0.013573295436799526,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,3,tag,256,2,0.001,4,W96,5.9160533000843465,0.017173349857330322,0.01,True,False,False,0.012437097728252411,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,3,tag,256,2,0.001,4,W96,6.762833899842905,0.023461016826331615,0.01,False,False,True,0.011661997064948082,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,3,tag,256,2,0.001,4,W96,5.445193505638596,0.016590025275945663,0.01,True,False,True,0.009403998032212257,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.6876460766792678,0.01402482995763421,0.01,False,True,False,0.0002968418411910534,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.7124669307622413,0.01436674315482378,0.01,True,True,False,0.000358282879460603,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.6935227607689762,0.012745460961014032,0.01,False,True,True,0.00027865124866366386,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.7618416479007495,0.013095622882246971,0.01,True,True,True,0.0002978536649607122,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,3,tag,256,2,0.001,4,W96,6.810408301846159,0.019358585588634014,0.01,False,False,False,0.01211560983210802,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,3,tag,256,2,0.001,4,W96,5.975556627473027,0.02041930239647627,0.01,True,False,False,0.012623107992112637,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,3,tag,256,2,0.001,4,W96,5.9338741174025555,0.021642507053911686,0.01,False,False,True,0.012901019304990768,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,3,tag,256,2,0.001,4,W96,5.982173800118302,0.018317696638405323,0.01,True,False,True,0.012462262995541096,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,3,tag,256,2,0.001,4,W96,0.6432106001668838,0.013475516811013222,0.01,False,True,False,0.000578668259549886,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,3,tag,256,2,0.001,4,W96,1.079386347161766,0.016140392050147057,0.01,True,True,False,0.0005708566168323159,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,3,tag,256,2,0.001,4,W96,0.721863243347769,0.01650581881403923,0.01,False,True,True,0.0005035627400502563,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,3,tag,256,2,0.001,4,W96,1.0065646311392353,0.01578546781092882,0.01,True,True,True,0.0005511472700163722,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,4,tag,256,2,0.001,4,W96,6.215593594012782,0.019314005970954895,0.01,False,False,False,0.015360802412033081,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,4,tag,256,2,0.001,4,W96,5.418034965951332,0.018925409764051437,0.01,True,False,False,0.01076054573059082,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,4,tag,256,2,0.001,4,W96,6.489377458024512,0.02241734229028225,0.01,False,False,True,0.010388245806097984,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,4,tag,256,2,0.001,4,W96,5.590581552641722,0.018032229505479336,0.01,True,False,True,0.011620290577411652,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.590440958845762,0.014787035528570414,0.01,False,True,False,0.00028469052631407976,0.0001,0.0001,7.7133693419621885,0.09075134247541428
